path	author	sex	birthday	header	created	sphere	genre_fi	type	topic	chronotop	style	audience_age	audience_level	audience_size	source	publication	publisher	publ_year	medium	country	region	language
				Глава Ставрополя поднялся на одну ступень выше в «Национальном рейтинге мэров»	27.03.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/glava-stavropolya-podnyalsya-na-odnu-stupen-vyshe-v-natsionaln/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Ставропольские танцоры стали чемпионами и призёрами чемпионата России	27.03.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/stavropolskie-tantsory-stali-chempionami-i-prizyorami-chempion/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				ВТБ профинансировал производителя металлопластиковых конструкций в СКФО	27.03.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/vtb-profinansiroval-proizvoditelya-metalloplastikovyh-konstruk/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Около 30 процентов заёмщиков не находят денег на первоначальный взнос по ипотеке	22.03.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/okolo-30-protsentov-zayomschikov-ne-nahodyat-deneg-na-pervonac/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Ставрополец получил серебро на первенстве СКФО по вольной борьбе среди юниоров	22.03.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/stavropolets-poluchil-serebro-na-pervenstve-skfo-po-volnoy-bor/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Принят закон о «ремонтном» ОСАГО	22.03.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/prinyat-zakon-o-remontnom-osago/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Снятие наличных с пластиковых карт может стать дороже	22.03.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/snyatie-nalichnyh-s-plastikovyh-kart-mozhet-stat-dorozhe/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				День бесплатной юридической помощи состоится на Ставрополье	22.03.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/den-besplatnoy-yuridicheskoy-pomoschi-sostoitsya-na-stavropole/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				ВТБ предоставил первый льготный кредит предприятию АПК в СКФО	22.03.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/vtb-predostavil-pervyy-lgotnyy-kredit-predpriyatiyu-apk-v-skfo/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				«Букет» медалей	21.03.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/buket-medaley/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Индекс производства сельхозпродукции СКФО составил 106,1 процента	21.03.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/indeks-proizvodstva-selhozproduktsii-skfo-sostavil-1061-protse/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				ВТБ24 увеличивает лимит переводов с карты на карту на сайте банка	13.03.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/vtb24-uvelichivaet-limit-perevodov-s-karty-na-kartu-na-sayte-b/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Аптекам грозит штраф за сокрытие информации о дешевых лекарствах	10.03.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/aptekam-grozit-shtraf-za-sokrytie-informatsii-o-deshevyh-lekar/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				400 тысяч фильмов посмотрели абоненты «Интерактивного ТВ» «Ростелекома» в 2016 г. на Юге в сервисе «Видеопрокат»	06.03.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/400-tysyach-filmov-posmotreli-abonenty-interaktivnogo-tv-roste/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Электронных полисов ОСАГО за два месяца продано больше, чем за 2016 год	01.03.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/elektronnyh-polisov-osago-za-dva-mesyatsa-prodano-bolshe-chem-/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Бекхан Мальсагов и Алёна Земляная победили в первенстве России по рукопашному бою среди юниоров	01.03.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/bekhan-malsagov-i-alyona-zemlyana-pobedili-v-pervenstve-rossii/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Самозанятых граждан возьмут на учёт	01.03.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/samozanyatyh-grazhdan-vozmut-na-uchyot/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Центробанк рассчитал ставки для МФО на второй квартал 2017 года	01.03.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/tsentrobank-rasschital-stavki-dlya-mfo-na-vtoroy-kvartal-2017-/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Облигации государственного займа для физлиц выпустят в апреле 	01.03.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/obligatsii-gosudarstvennogo-zayma-dlya-fizlits-vypustyat-v-apr/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				В 2016 году ВТБ Страхование жизни увеличила объем сборов до 13,3 млрд рублей	28.02.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/v-2016-godu-vtb-strahovanie-zhizni-uvelichila-obem-sborov-do-1/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				«Ростелеком» дарит фанатам «Больше футбола»	28.02.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/rostelekom-darit-fanatam-bolshe-futbola/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				С «Ростелекомом» блин на Масленицу не комом!	27.02.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/s-rostelekomom-blin-na-maslenitsu-ne-komom/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Группа ВТБ стала титульным партнером 2017 FORMULA 1 ВТБ ГРАН-ПРИ РОССИИ	27.02.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/gruppa-vtb-stala-titulnym-partnerom-2017-formula-1-vtb-gran-pr/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				ВТБ24 представляет новый мобильный банк для смартфонов и планшетов Android	22.02.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/vtb24-predstavlyaet-novyy-mobilnyy-bank-dlya-smartfonov-i-plan/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Ставропольский студент победил в первенстве Национальной студенческой шахматной лиги	21.02.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/stavropolskiy-student-pobedil-v-pervenstve-natsionalnoy-studen/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Банк ВТБ подвел итоги работы за 2016 год в сегменте среднего бизнеса	21.02.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/bank-vtb-podvel-itogi-raboty-za-2016-god-v-segmente-srednego-b/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Скалолазки из Ставрополя завоевали золото и серебро на чемпионате в Ростове-на-Дону	20.02.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/skalolazki-iz-stavropolya-zavoevali-zoloto-i-serebro-na-chempi/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Депутат Госдумы от Ставрополья Ольга Тимофеева внесла на рассмотрение законопроект о «региональных СМИ»	18.02.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/deputat-gosdumy-ot-stavropolya-olga-timofeeva-vnesla-na-rassmo/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				«Ростелеком» приблизил к победе геймеров ЮФО и СКФО	17.02.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/rostelekom-priblizil-k-pobede-geymerov-yufo-i-skfo/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
				Закупки «Ростелекома» у малого и среднего бизнеса в 2016 году составили 81,7 млрд. рублей	17.02.2017	публицистика					нейтральный	н-возраст	н-уровень	городская	http://vechorka.ru/news/zakupki-rostelekoma-u-malogo-i-srednego-biznesa-v-2016-godu-so/	Вечерний Ставрополь			газета	Россия	Ставропольский край	ru
